,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
,,NOTE 1,**** as,The ,,The addition of the word 'as' to another word to intensify the adjective is so common in NZ that  I have left thos in  where it is commnly used.  Logically they should be removed in the same way I have consolidated the -ed and -ing variations but I suspect the young users will find it useful to include it on its own line.   HOWEVER after line 550 I have tended to delete thm if they are not very different from the base term,
,,NOTE 2  ,DICTIONARY WORDS,,,Where a normal word is defined here just as it would be in a dictionary and a competent English speaker may have heard it before then it has been deleted . However some words of this type are very unusual in normal conversation so I have included them in this list.,
,,NOTE 3,Odd TEEN WORDS,,,The AI suggested a large number of terms they I do not recognise ANd think they have no linguistic foundation. They may be extracted from a game or media character. I think they are likely only  used by niche groups or very few people if they are used at all so I have deleted them. I have left in words that have some logic such as being a phoenetic variation or a logical pun on a correct word .Some of theses I have never heard but I can see that they could logically exist.. If a user comes across the type of word that I have deleted and can veryify they are in common use them insert them.  I have left some in with ??? in the NOTES as I am uncertain.,
,,NOTE 4,MISSING words,,,"I have noticed what I think are slang words in the example sentences or the listed word suggests another, that are not in the master list.  I have inserted many in the correct place but I am sure there are many others.  This will commonly apply where a term can be used in many ways with several different meanings - the term FUCK is a classic example.",
,,NOTE 5,Part of speech,,,"Would it be useful to specify the part of sceech of the term.  eg Noun, Verb, Adjective etc.",
,,,,,,,
,,,,,,,
,1,1UP,1up,ONLINE/GAMING,extra life,I grabbed a 1up and kept going.,
,3,2IC,2IC,WORKPLACE,second-in-charge,Talk to the 2IC if the boss isn’t here.,
,4,10/10,10/10,GENERAL NZ,excellent,That pav was 10/10.,
,5,24/7,24/7,GENERAL NZ,all the time,That dairy is open 24/7.,
,7,50/50,50/50,GENERAL NZ,uncertain,It’s 50/50 whether the game will be cancelled.,
,8,101,101,SCHOOL,basics,"That’s cooking 101, mate, only for new students.",
,9,110%,110%,GENERAL NZ,fully committed,The team gave it 110% today and beat the champion team.,
,11,404 BRAIN,404 brain,TEEN,brain not working,"Sorry, 404 brain right now.",
,12,3AM THOUGHTS,3am thoughts,GENERAL NZ,late-night overthinking,Had some wild 3am thoughts last night.,
,,,,,,,
,13,ACE,ace,GENERAL NZ,excellent,"That pie was ace, best I have had in ages",
,14,ALLGOOD,all good,GENERAL NZ,no problem,"All good mum, I have done the laundry.",
,15,ALLSORTS,all sorts,GENERAL NZ,mixed variety,"The shop sells all sorts, like a $2 store.",
,16,ANTI,anti,TEEN,against,He’s anti doing homework today.,
,17,ARAOHA,aroha,MAORI GENERAL,love,Show some aroha for the new kids.,
,18,AROHANUI,arohanui,MAORI GENERAL,lots of love,Arohanui ki tō whānau.  - ie love to the family,
,19,AROHA ATU,aroha atu,MAORI GENERAL,sending love,Aroha atu ki a koe.   -  ie Love to you.,
,20,AROHA MAI,aroha mai,MAORI GENERAL,sorry,"Aroha mai, kāore au i te whakaaro pēnā.  ie  Sorry, thats not what I meant!",
,21,ARO,aro,TEEN,attention,"Give it some aro, bro.",
,22,AROUNDS,arounds,TEEN,taking turns,We’re doing arounds on the game controller.,
,24,AOTEAROA,aotearoa,MAORI GENERAL,New Zealand,Aotearoa has amazing beaches.,
,25,AOTEAROA MADE,aotearoa made,GENERAL NZ,NZ-made,These are Aotearoa made products.  ie made in NZ.,
,27,AUNTY,aunty,GENERAL NZ,older female family friend OR any older female Maori friend,Aunty dropped off some kai for us.,
,28,AVO,avo,GENERAL NZ,afternoon,"See you this avo, about 3.",
,29,AWESOME,awesome,GENERAL NZ,excellent,That concert was awesome the best that group has ever done.,
,30,AWESOME AS,awesome as,TEEN,very excellent,That game was awesome as.,
,31,AWHI,awhi,MAORI GENERAL,support,The team gave him heaps of awhi and he delivered.,
,32,AWKS,awks,TEEN,awkward,That silence was awks.,
,33,AWOL,awol,GENERAL NZ,missing,He went awol during class.   (Short for absent without leave.),
,34,AXE,axe,GENERAL NZ,cancel,They axed the meeting.,
,35,AYE,aye,MAORI GENERAL,yes,"Aye, ka pai tērā.   ie   Yes that is good (or fine)",
,36,AYE RIGHT,aye right,MAORI GENERAL,disbelief,"Aye right, like that’s true. Really?",
,37,AYE-NAH,aye-nah,MAORI GENERAL,yes then no,"Aye-nah, I’m not keen.",
,38,AYE-YEAH,aye-yeah,MAORI GENERAL,affirmation,"Aye-yeah, that’s the one.",
,39,AYE-YO,aye-yo,MAORI GENERAL,attention call,"Aye-yo, tirohia tēnā.   ie   Hey, Check that out!",
,40,AYE-YUP,aye-yup ,MAORI GENERAL,strong yes,"Aye-yup, I’ll be there.",
,41,AYE-UP,aye-up,MAORI GENERAL,greeting,"Aye-up, how’s things.",
,42,AYO,ayo,TEEN,attention call,"Ayo, check this out.",
,43,AYOOP,ayoop,TEEN,surprised reaction,"Ayoop,I didn’t expect that.",
,44,AYUP,ayup,GENERAL NZ,greeting,"Ayup, how’s it going.",
,45,BACK,back,GENERAL NZ,support,I’ve got your back.,
,46,BACKYARD,backyard,GENERAL NZ,home area,We’ll have a barbecue in the backyard.,
,47,BACH,bach,GENERAL NZ,holiday home,We’re heading to the bach at the beach this weekend.,
,48,BAD,bad,TEEN,good or impressive,"That trick was bad, bro.  Don't do it again.",
,49,BADGE,badge,GENERAL NZ,police,The badge turned up at the party.,
,50,BAG,bag,TEEN,"criticise,  blame",Don’t bag him for that.  It was not his fault.,
,51,BAG OUT,bag out,TEEN,mock,They were bagging out his crazy haircut.,
,52,BAIL,bail,TEEN,leave suddenly,We bailed after the first half and went for fish and chips.,
,53,BAIL ON,bailed on,TEEN,cancel plans,He bailed on us last minute.,
,54,BAIL UP,bail up,GENERAL NZ,confront,He bailed me up about the homework.,
,55,BAKE,bake,TEEN,insult,He baked me in front of everyone.,
,56,BANGER,banger /banging,TEEN,great ,That song is a banger. |  That video is banging.,
,56A,BANGER,old banger,GENERAL NZ,old worn out car,Can I take the old banger onto the beach as it is rusty already!,
,58,BANZAI,banzai,GENERAL NZ,reckless attempt,He went in banzai and failed.,
,59,BARB,barb,TEEN,insult,That was a harsh barb.,
,61,BARMY,barmy,GENERAL NZ,crazy,"That idea is barmy., forget it,",
,62,BASH,bash,GENERAL NZ,party,"We’re having a bash on Friday., all welcome.",
,63,BASHED,"bashed, bash up",GENERAL NZ,beaten up,Do it again and I will bash you up.,
,65,BASKET CASE,basket case,GENERAL NZ,hopeless person,"He’s a basket case today, unable to do anything right.",
,66,BASS,bass,TEEN,low-end sound,Turn up the bass. I like it louder for dancing.,
,70,BATTY,batty,GENERAL NZ,crazy,He’s a bit batty sometimes.,
,71,BAY,bābe,TEEN,female romantic partner,"She’s my babe, I love her.",
,74,BEAN,bean,TEEN,head,He smacked his bean on the door and got a bad headache.,
,75,BEANIE,beanie,GENERAL NZ,knitted hat,"Grab your beanie, it’s cold.",
,78,BEAT,beat,TEEN,exhausted,I’m beat after training for over 3 hours.,
,79,BEAT IT,beat it,GENERAL NZ,go away,"Beat it, mate you are not wanted here.",
,80,BEAUT,beaut,GENERAL NZ,excellent,That was a beaut catch out in the field.,
,81,BEAUT AS,beaut as,GENERAL NZ,very excellent,"Her song was beaut as I love it,",
,82,BEAUTY,beauty,GENERAL NZ,great (exclamation),"Beauty, let’s go.",
,83,BEVVY,bevvy,GENERAL NZ,drink,Grab a bevvy from the fridge.,
,85,BEVVIES,bevvies,GENERAL NZ,drinks,We had a few to many bevvies last night.,
,86,BESTIE,bestie,TEEN,best friend,"She’s my bestie now at school,",
,88,BICKY,"bicky,  bickie(s)",GENERAL NZ,biscuit,Grab a bicky for morning tea.,
,91,BIGGIE,biggie,TEEN,important thing,"It’s not a biggie, bro. No worries.",
,92,BIG TIME,big time,GENERAL NZ,seriously,He messed up big time.,
,93,BILLION,billion,TEEN,exaggeration,I’ve told you a billion times.,
,94,BINGE,binge,TEEN,watch a lot,We binged that whole show.,
,95,BINGING,binging,TEEN,watching a lot,We’re binging that series tonight.,
,96,BINT,bint,GENERAL NZ,girl (derogatory),He called her a bint.,
,97,BIRD,bird,GENERAL NZ,woman,He’s keen on that bird.,
,98,BIRTHDAY SUIT,birthday suit,GENERAL NZ,naked,He ran outside in his birthday suit and shocked the neighbors.,
,99,BITTER,bitter,GENERAL NZ,upset,He’s still bitter about losing the game that they should have won.,
,100,BIZZO,bizzo,GENERAL NZ,business,Mind your own bizzo.,
,101,BIZ,biz,GENERAL NZ,business,That’s not my biz.,
,102,BLAB,blab,GENERAL NZ,reveal secrets,Don’t blab about it to anyone else.,
,103,BLAG,"blag , -ed -ing",TEEN,talk your way in,He blagged his way backstage.,
,105,BLAST,blast,GENERAL NZ,great time,We had a blast. at the concert.,
,106,BLASTED,blasted,TEEN,angry / display anger,He was blasted at the ref..  He blasted the ref for allowing that goal.,
,107,BLAZE,blaze,TEEN,smoke cannabis,They were blazing behind the shed.,
,108,BLAZED,blazed,TEEN,high,He looked blazed in class.,
,109,BLESS,bless,GENERAL NZ,thank you,"Bless, that was kind.",
,110,BLIMEY,blimey,GENERAL NZ,surprise,"Blimey, that was close.",
,111,BLIND,blind drunk,TEEN,drunk, He got blind drunk befoe the party!,
,112,BLINDER,blinder,GENERAL NZ,excellent performance,He played a blinder.,
,113,BLINDING,blinding,GENERAL NZ,excellent,That was a blinding try.,
,114,BLING,bling,TEEN,flashy jewellery,Check out his bling.  Its too flashy for me.,
,115,BLITZ,blitz,GENERAL NZ,destroy,We blitzed the other team.  They were hopeless.,
,116,BLONDE MOMENT,blonde moment,GENERAL NZ,moment of silliness,"Sorry, I had a blonde moment.",
,117,BLOW,blow,GENERAL NZ,bad luck,"That’s a blow, mate. Next time might be better.",
,117A,BLOW OFF,blow off | blow off steam,GENERAL NZ,fart | do something to release stress,"It smells bad, Who farted?  |  I went for a long run to blow off steam after the exam.",
,118,BLOW OUT,blow out,GENERAL NZ,big failure,That plan was a blow out.  We need to start again.,
,119,BLOW UP,blow up,GENERAL NZ,get angry,He blew up at training because someone had taken his equipment.,
,120,BLUDGE,bludge,GENERAL NZ,avoid work,The lazy bugger is bludging again.,
,121,BLUDGER,bludger,GENERAL NZ,lazy person or person who borrows  too many things,"He’s a real bludger, does nothing.   Dont lend him anything as her is just a bludger.",
,122,BLUFF,bluff,GENERAL NZ,pretend,"He’s bluffing, don’t fall for it.",
,123,BLUNT,blunt,TEEN,cannabis cigar,He rolled a blunt.,
,124,BLUSH,blush,TEEN,embarrassed,She blushed after that comment.,
,125,BO,B.O.,TEEN,body odour,He’s got major B.O. today.,
,126,BOGAN,bogan,GENERAL NZ,uncultured person,He’s a total bogan.,
,127,BOGEY,bogey,GENERAL NZ,"booger, snot",Wipe that bogey off your nose.,
,128,BOIL UP,boil up,MAORI GENERAL,traditional meal,Nan made a boil up for dinner.,
,129,BOIL-UP,boil-up,MAORI GENERAL,traditional meal,We had a boil-up at the marae.,
,130,BOMB,bomb,GENERAL NZ,fail badly,"That joke bombed, nobody laughed.",
,131,BOMBING,bombing,TEEN,jumping into water to make a big splash,We were bombing off the wharf and those watching got wet.,
,132,BOMBER,bomber,GENERAL NZ,hoodie,"Grab your bomber, it’s cold out there.",
,133,BOMBED,bombed,GENERAL NZ,failed,I bombed that test and will have to repeat it,
,134,BONK,bonk,GENERAL NZ,hit,He bonked his head.,
,135,BONKERS,bonkers,GENERAL NZ,crazy,That idea is bonkers.,
,136,BONZA,bonza,GENERAL NZ,excellent,"That was bonza, mate.",
,137,BOO,boo,TEEN,romantic partner,She’s my boo.,
,138,BOOM,boom,GENERAL NZ,success,"Boom, done.",
,139,BOOMER,"boomer, booming",GENERAL NZ,older person,He’s such a boomer.,
,141,BOOST,boost,TEEN,help,Can you boost me up?,
,142,BOOSTED,boosted,TEEN,left quickly,He boosted out of there.,
,143,BOOT,"boot, booted",GENERAL NZ,kick out,They booted him from the team.,
,146,BOOZE,booze,GENERAL NZ,alcohol,They brought some booze to the party.,
,147,BOOZED,boozed,GENERAL NZ,drunk,He was totally boozed last night.,
,148,BOOZER,boozer,GENERAL NZ,pub,We met at the local boozer.,
,149,BOOZING,boozing,GENERAL NZ,drinking heavily,They were boozing all weekend.,
,150,BOP,bop,TEEN,good song,That tune is a bop.,
,151,BOPPING,bopping,TEEN,dancing,We were bopping all night.,
,153,BOSS,boss,TEEN,excellent,That move was boss.,
,154,BOSS,"boss, bossing bossy",GENERAL NZ,dominating,He bossed his little brother all the time. | She was bossing the whole game.|The guy was too bossy so was not popular.,
,155,BOT,bot,TEEN,bad player,He’s such a bot at Fortnite.,
,156,BOTTY,botty,TEEN,bottom,The baby fell on his little botty.,
,158,BOUNCED,bounced,TEEN,left quickly,He bounced after the bell.,
,159,BOUNCER,bouncer,GENERAL NZ,security guard,The bouncer checked our IDs.,
,162,BOUQUET,bouquet,GENERAL NZ,praise,Give him his bouquet for that effort.,
,163,BOUT,bout,GENERAL NZ,short period,Had a bout of sickness.,
,164,BOWLED,bowled,GENERAL NZ,surprised,I was bowled by that news.,
,165,BOWLED OVER,bowled over,GENERAL NZ,impressed,I was totally bowled over by the performance.,
,166,BOX,box,TEEN,fight,They were gonna box after school.,
,169,BOY,boy,TEEN,friend,He’s my boy.,
,170,BOYO,boyo,GENERAL NZ,boy,"Come here, boyo.",
,171,BRACE,brace,TEEN,prepare,"Brace yourself, bro. This will be rough.",
,172,BRAG,brag,TEEN,show off,He might be the best but he’s always bragging so we don't like him.,
,174,BRAH,brah,TEEN,friend,"Chill, brah.",
,175,BRASS,brass,GENERAL NZ,money,He’s got no brass left.,
,179,BRAY,bray,GENERAL NZ,complain loudly,He was braying about homework.,
,181,BREAKOUT,breakout,TEEN,escape,He had a breakout from class.,
,182,BREAK UP,break up,TEEN,end relationship,They decided to break up.,
,183,BREATHER,breather,GENERAL NZ,short rest,"Take a breather, mate.",
,184,BREKKIE,brekkie,GENERAL NZ,breakfast,Grab some brekkie before school.,
,185,BREW,brew,GENERAL NZ,cup of tea,"Make us a brew, eh.",
,186,BRICK,brick,TEEN,phone,His phone is a brick.,
,187,BRICKED,bricked,TEEN,broken,My laptop bricked itself.,
,188,BRICKING,bricking,TEEN,scared,"I was bricking it, bro.",
,189,BRIGHT SPARK,bright spark,GENERAL NZ,smart person,"She’s a real bright spark, especially in science.",
,190,BRING IT,brIng it,TEEN,challenge,"Bring it, bro.",
,191,BRINGING IT,bringing it,TEEN,performing well,She’s bringing it today.,
,193,BRO,bro,GENERAL NZ,friend,"Cheers, bro.",
,195,BROKE,broke,GENERAL NZ,no money,I’m broke till Friday.,
,197,BROKEN UP,broken up,TEEN,emotionally upset,He’s broken up about it.,
,198,BROLIC,brolic,TEEN,muscular,He’s looking brolic lately.,
,199,BROLLY,brolly,GENERAL NZ,umbrella,"Grab your brolly, it’s raining.",
,200,BROOD,brood,GENERAL NZ,think deeply,He’s brooding again.,
,201,BROOKIE,brookie,TEEN,brownie cookie,"Try a brookie, bro.",
,202,BROSKI,broski,TEEN,friend,"What’s up, broski.",
,203,BROS,bros,TEEN,friends,We’re the bros.,
,204,BROTHER,brother,GENERAL NZ,mate,"How’s it going, brother.",
,205,BROTHERMAN,brotherman,GENERAL NZ,friend,"Cheers, brotherman.",
,206,BROTHERS,brothers,GENERAL NZ,mates,We’re brothers for life.,
,207,BROWN,brown,GENERAL NZ,police,The brown turned up.,
,208,BROWNIE POINTS,brownie points,GENERAL NZ,credit,He earned brownie points for helping.,
,209,BRUH,bruh,TEEN,expression,"Bruh, that was wild.",
,210,BRUH MOMENT,bruh moment,TEEN,stupid moment,That was a bruh moment.,
,211,BRUTAL,brutal,TEEN,harsh,That comment was brutal.,
,212,BRUTAL AS,brutal as,TEEN,very harsh,That tackle was brutal as.,
,213,BUB,"bub, bubba",GENERAL NZ,baby,"Cute bub, eh.",
,215,BUBBLE,bubble,GENERAL NZ,friend group,Stay in your bubble.,
,216,BUBBLING,bubbling,TEEN,excited,I’m bubbling for the weekend.,
,217,BUCK,buck,GENERAL NZ,dollar,It cost ten bucks.,
,218,BUCKLED,buckled,TEEN,collapsed,He buckled after running.,
,219,BUCKLE UP,buckle up,GENERAL NZ,get ready,"Buckle up, team.",
,220,BUCKWILD,buckwild,TEEN,out of control,They went buckwild.,
,221,BUD,"bud, buddy",GENERAL NZ,friend,"What’s up, bud.  |Cheers Buddy, drink up!",
,223,BUFF,"buffed,  buff",GENERAL NZ,muscular,He’s looking buff.  Girls love his buffed body.,
,225,BUG,bug,GENERAL NZ,annoy,Don’t bug me.,
,226,BUGGER,bugger,GENERAL NZ,rascal  bad person,You little bugger.  He is the bugger who stole your car. ,
,227,BUGGER ALL,bugger all,GENERAL NZ,almost nothing,I’ve got bugger all money.,
,228,BUGGERED,buggered,GENERAL NZ,tired,I’m buggered after work.,
,229,BUGGER OFF,bugger off,GENERAL NZ,go away,"Bugger off, mate.",
,230,BUILD,build,GENERAL NZ,body shape,"He’s got a solid build, very big.",
,231,BUILT,built,GENERAL NZ,muscular,He’s built like a tank.,
,232,BULK,"bulk, bulk up. bulking",GENERAL NZ,gain muscle,He’s trying to bulk up for rugby.,
,234,BULL,būll,GENERAL NZ,nonsense,"That’s bull, mate.",
,235,BULLY,bully,GENERAL NZ,intimidate,Don’t bully him.,
,236,BUM,bum,GENERAL NZ,lazy person,He’s a bum.,
,237,BUMMED,bummed,GENERAL NZ,disappointed,I’m bummed about that.,
,238,BUMMER,bummer,GENERAL NZ,disappointing thing,That’s a bummer.,
,239,BUMP,bump,TEEN,meet,Let’s bump later.,
,240,BUMPED,bumped,TEEN,met,We bumped into him at the park after long time no see.,??
,241,BUMPING,bumping,TEEN,dancing,They were bumping at the party.,
,242,BUNCH,bunch,GENERAL NZ,group,A bunch of us went to the party together.,
,243,BUNG,bung,GENERAL NZ,broken,The toaster’s bung so no toast today,
,244,BUNGED,bunged,GENERAL NZ,blocked,The drain is bunged up and the basin overflowed.,
,245,BUNGY,bungy,GENERAL NZ,jump,Would you bungy off this high bridge?249,
,246,BUNK,"bunk, bunking off",GENERAL NZ,skip school | nonsense,They bunked class and went to the movies  | He knows nothing and speaks a lot of bunk.,
,248,BUNNY,bunny,GENERAL NZ,naive person,He’s a bunny and new here so leave him alone.,
,249,BURN,burn,TEEN,insult,"That was a burn, bro.",
,250,BURNED,burned,TEEN,insulted,He got burned hard.,
,251,BURNING,burning,TEEN,embarrassed,I was burning after that.,
,252,BURNOUT,burnout ,GENERAL NZ,exhaustion \ Spin car wheels,He’s got burnout from too much work and no holidays. | The police took his car after he did a big burnout on  the main road.,
,253,BURNT,burnt,TEEN,exhausted,I’m burnt after training.,
,254,BURY,bury,TEEN,defeat badly,We buried them in the game wand won by heaps!,
,255,BUSH,bush,GENERAL NZ,forest,We got lost in the bush.,
,256,BUSHED,bushed,GENERAL NZ,tired,"I’m bushed, mate after all that exercise.",
,257,BUSSED,bussed,TEEN,embarrassed,He got bussed in front of everyone.,
,258,BUST,bust,GENERAL NZ,break,"Be careful, don’t bust it.",
,259,BUSTED,busted,GENERAL NZ,caught,He got busted cheating in the exam.,
,260,BUSTER,buster,GENERAL NZ,troublemaker,He’s a little buster.,
,261,BUSY AS,busy as,GENERAL NZ,very busy,"I’m busy as today, no time to talk.",
,262,BUTCH,butch,GENERAL NZ,strong. almost manlike,She’s pretty butch and looks tough.,
,263,BUZZ,"buzz,ed, ing",TEEN,excitement,I’ve got a buzz for tonight. and buzzing for the game this weekend.,
,267,BYO,BYO,GENERAL NZ,bring your own,It’s a BYO dinner.,
,268,BYOB,BYOB,GENERAL NZ,bring your own booze,It’s BYOB tonight.,
,269,CAB,cab,GENERAL NZ,taxi,Grab a cab home if you are drinking.,
,270,CABBAGE,cabbage,GENERAL NZ,fool,Don’t be a cabbage.,
,271,CABBAGED,cabbaged,GENERAL NZ,very drunk,He was cabbaged last night.,
